category	name	hacker	code	status	address
COM "Enemy" Codes	All Monsters On Opponent Field Have The Same ATK (Modifier)	roughnight	5000051C 0000	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have The Same DEF (Modifier)	roughnight	C0008482 801E	DIRECTIVE	
COM "Enemy" Codes	All Monsters On Opponent Field Have The Same DEF (Modifier)	roughnight	5000051C 0000	DIRECTIVE	
Darknite Codes	0 Losses	Police NYPD	801D07B2 0000	WRITE	0x801D07B2
Darknite Codes	Max Wins	Police NYPD	801D07B0 270F	WRITE	0x801D07B0
Desert Mage Codes	0 Losses	Police NYPD	801D078A 0000	WRITE	0x801D078A
Desert Mage Codes	Max Wins	Police NYPD	801D0788 270F	WRITE	0x801D0788
Duel Master K Codes	0 Losses	Police NYPD	801D07BA 0000	WRITE	0x801D07BA
Duel Master K Codes	Max Wins	Police NYPD	801D07B8 270F	WRITE	0x801D07B8
Enemy Codes	Enemy Can Never Lay Any Cards Down	Police NYPD	801A7D1E 0000	WRITE	0x801A7D1E
Enemy Codes	Enemy Plater Keeps Attacking You Over And Over Again Till All You Die	Police NYPD	801A7D1E 8402	WRITE	0x801A7D1E
Enemy Codes	Infinite LP	Police NYPD	800EA024 270F	WRITE	0x800EA024
Enemy Codes	No LP	Police NYPD	800EA024 0000	WRITE	0x800EA024
Forest Mage Codes	0 Losses	Police NYPD	801D077A 0000	WRITE	0x801D077A
Forest Mage Codes	Max Wins	Police NYPD	801D0778 270F	WRITE	0x801D0778
Free Duel Codes	Enable All Duelist	Police NYPD	801D06F4 FFFF	WRITE	0x801D06F4
Free Duel Codes	Enable All Duelist	Police NYPD	801D06F6 FFFF	WRITE	0x801D06F6
Free Duel Codes	Free Duel Against Glitched Duelists For Guaranteed Drops (Press Select To Enable, Triangle To Return To Regular Screen)	roughnight	D00E9E28 C000	UNCHECKABLE	0x800E9E28
Free Duel Codes	Free Duel Against Glitched Duelists For Guaranteed Drops (Press Select To Enable, Triangle To Return To Regular Screen)	roughnight	D009B390 0100	UNCHECKABLE	0x8009B390
Free Duel Codes	Free Duel Against Glitched Duelists For Guaranteed Drops (Press Select To Enable, Triangle To Return To Regular Screen)	roughnight	8009B36C 0000	WRITE	0x8009B36C
Guardian Neku Codes	0 Losses	Police NYPD	801D07A6 0000	WRITE	0x801D07A6
Guardian Neku Codes	Max Wins	Police NYPD	801D07A4 270F	WRITE	0x801D07A4
Guardian Sebek Codes	0 Losses	Police NYPD	801D07A2 0000	WRITE	0x801D07A2
Guardian Sebek Codes	Max Wins	Police NYPD	801D07A0 270F	WRITE	0x801D07A0
Heishin 2nd Codes	0 Losses	Police NYPD	801D07AA 0000	WRITE	0x801D07AA
Heishin 2nd Codes	Max Wins	Police NYPD	801D07A8 270F	WRITE	0x801D07A8
Heishin Codes	0 Losses	Police NYPD	801D073E 0000	WRITE	0x801D073E
Heishin Codes	Max Wins	Police NYPD	801D073C 270F	WRITE	0x801D073C
Hero Codes	Infinite LP	Police NYPD	800EA004 270F	WRITE	0x800EA004
High Mage Anubisus Codes	0 Losses	Police NYPD	801D077E 0000	WRITE	0x801D077E
High Mage Anubisus Codes	Max Wins	Police NYPD	801D077C 270F	WRITE	0x801D077C
High Mage Atenza Codes	0 Losses	Police NYPD	801D0786 0000	WRITE	0x801D0786
High Mage Atenza Codes	Max Wins	Police NYPD	801D0784 270F	WRITE	0x801D0784
High Mage Kepura Codes	0 Losses	Police NYPD	801D0796 0000	WRITE	0x801D0796
High Mage Kepura Codes	Max Wins	Police NYPD	801D0794 270F	WRITE	0x801D0794
High Mage Martis Codes	0 Losses	Police NYPD	801D078E 0000	WRITE	0x801D078E
High Mage Martis Codes	Max Wins	Police NYPD	801D078C 270F	WRITE	0x801D078C
High Mage Secmeton Codes	0 Losses	Police NYPD	801D0776 0000	WRITE	0x801D0776
High Mage Secmeton Codes	Max Wins	Police NYPD	801D0774 270F	WRITE	0x801D0774
In-Duel Codes	Press Select+X While Highlighting An Opponent Monster To Take Control Of It	roughnight	D009B390 0140	UNCHECKABLE	0x8009B390
In-Duel Codes	Press Up Button When Placing Monsters To Place Them In Opponent's Field	roughnight	C009B168 9000	DIRECTIVE	
In-Duel Codes	Press Up Button When Placing Monsters To Place Them In Opponent's Field	roughnight	800FE068 0050	WRITE	0x800FE068
In-Duel Codes	Press Up Button When Placing Monsters To Place Them In Opponent's Field	roughnight	800FE06A 0000	WRITE	0x800FE06A
In-Hand Card Modifiers	All Cards In Hand Have Max ATK	roughnight	C0008482 801E	DIRECTIVE	
In-Hand Card Modifiers	All Cards In Hand Have Max ATK	roughnight	5000051C 0000	DIRECTIVE	
In-Hand Card Modifiers	All Cards In Hand Have Max ATK	roughnight	801A7AE6 270F	WRITE	0x801A7AE6
In-Hand Card Modifiers	All Cards In Hand Have Max DEF	roughnight	C0008482 801E	DIRECTIVE	
In-Hand Card Modifiers	All Cards In Hand Have Max DEF	roughnight	5000051C 0000	DIRECTIVE	
In-Hand Card Modifiers	All Cards In Hand Have Max DEF	roughnight	801A7AE8 270F	WRITE	0x801A7AE8
In-Hand Card Modifiers	In-Hand Card 1 - Max ATK	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 1 - Max ATK	roughnight	801A7AE6 270F	WRITE	0x801A7AE6
In-Hand Card Modifiers	In-Hand Card 1 - Max DEF	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 1 - Max DEF	roughnight	801A7AE8 270F	WRITE	0x801A7AE8
In-Hand Card Modifiers	In-Hand Card 2 - Max ATK	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 2 - Max ATK	roughnight	801A7B02 270F	WRITE	0x801A7B02
In-Hand Card Modifiers	In-Hand Card 2 - Max DEF	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 2 - Max DEF	roughnight	801A7B04 270F	WRITE	0x801A7B04
In-Hand Card Modifiers	In-Hand Card 3 - Max ATK	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 3 - Max ATK	roughnight	801A7B1E 270F	WRITE	0x801A7B1E
In-Hand Card Modifiers	In-Hand Card 3 - Max DEF	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 3 - Max DEF	roughnight	801A7B20 270F	WRITE	0x801A7B20
In-Hand Card Modifiers	In-Hand Card 4 - Max ATK	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 4 - Max ATK	roughnight	801A7B3A 270F	WRITE	0x801A7B3A
In-Hand Card Modifiers	In-Hand Card 4 - Max DEF	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 4 - Max DEF	roughnight	801A7B3C 270F	WRITE	0x801A7B3C
In-Hand Card Modifiers	In-Hand Card 5 - Max ATK	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 5 - Max ATK	roughnight	801A7B56 270F	WRITE	0x801A7B56
In-Hand Card Modifiers	In-Hand Card 5 - Max DEF	roughnight	D0008482 801E	OUTSIDE	0x80008482
In-Hand Card Modifiers	In-Hand Card 5 - Max DEF	roughnight	801A7B58 270F	WRITE	0x801A7B58
Isis Codes	0 Losses	Police NYPD	801D075E 0000	WRITE	0x801D075E
Isis Codes	Max Wins	Police NYPD	801D075C 270F	WRITE	0x801D075C
Jono Codes	0 Losses	Police NYPD	801D072C 0000	WRITE	0x801D072C
Jono Codes	Max Wins	Police NYPD	801D072A 270F	WRITE	0x801D072A
Juno 2nd Codes	0 Losses	Police NYPD	801D076A 0000	WRITE	0x801D076A
Juno 2nd Codes	Max Wins	Police NYPD	801D0768 270F	WRITE	0x801D0768
Kaiba Codes	0 Losses	Police NYPD	801D0762 0000	WRITE	0x801D0762
Kaiba Codes	Max Wins	Police NYPD	801D0760 270F	WRITE	0x801D0760
Labyrinth Mage Codes	0 Losses	Police NYPD	801D079A 0000	WRITE	0x801D079A
Labyrinth Mage Codes	Max Wins	Police NYPD	801D0798 270F	WRITE	0x801D0798
Library Codes	Have All 722 Cards	Police NYPD	5000FF02 0000	DIRECTIVE	
Library Codes	Have All 722 Cards	Police NYPD	801D0250 0505	WRITE	0x801D0250
Library Codes	Have All 722 Cards	Police NYPD	50006A02 0000	DIRECTIVE	
Library Codes	Have All 722 Cards	Police NYPD	801D044E 0505	WRITE	0x801D044E
Mage Soldier Codes	0 Losses	Police NYPD	801D0766 0000	WRITE	0x801D0766
Mage Soldier Codes	Max Wins	Police NYPD	801D0764 270F	WRITE	0x801D0764
Mai Valentine Codes	0 Losses	Police NYPD	801D074A 0000	WRITE	0x801D074A
Mai Valentine Codes	Max Wins	Police NYPD	801D0748 270F	WRITE	0x801D0748
Meadow Mage Codes	0 Losses	Police NYPD	801D0792 0000	WRITE	0x801D0792
Meadow Mage Codes	Max Wins	Police NYPD	801D0790 270F	WRITE	0x801D0790
Miscellaneous Codes	Have All Cards (Caetla Only)	StalkerX, 00Kevin	B1050002 0000	DIRECTIVE	
Miscellaneous Codes	Have All Cards (Caetla Only)	StalkerX, 00Kevin	801D0250 C8C8	WRITE	0x801D0250
Miscellaneous Codes	Have All Cards (GS 2.2 Or Higher Needed!)	StalkerX, 00Kevin	5000FF02 0000	DIRECTIVE	
Miscellaneous Codes	Have All Cards (GS 2.2 Or Higher Needed!)	StalkerX, 00Kevin	801D0250 C8C8	WRITE	0x801D0250
Miscellaneous Codes	Have All Cards (GS 2.2 Or Higher Needed!)	StalkerX, 00Kevin	50006A02 0000	DIRECTIVE	
Miscellaneous Codes	Have All Cards (GS 2.2 Or Higher Needed!)	StalkerX, 00Kevin	80105F96 C8C8	WRITE	0x80105F96
Miscellaneous Codes	Infinite LP P1	StalkerX, 00Kevin	800EA004 270F	WRITE	0x800EA004
Miscellaneous Codes	Infinite Starchips	StalkerX, 00Kevin	801D07E0 423F	WRITE	0x801D07E0
Miscellaneous Codes	Infinite Starchips	StalkerX, 00Kevin	801D07E2 000F	WRITE	0x801D07E2
Miscellaneous Codes	No LP P1	StalkerX, 00Kevin	800EA004 0000	WRITE	0x800EA004
Miscellaneous Codes	No LP P2	StalkerX, 00Kevin	800EA024 0000	WRITE	0x800EA024
Miscellaneous Codes	No Music Playing	Police NYPD	801E1B88 08B7	WRITE	0x801E1B88
Miscellaneous Codes	Skip Game Intro FMV (Needed - Read Note)	Police NYPD	8009B062 0101	WRITE	0x8009B062
Miscellaneous Codes	Slow Motion Mode	Police NYPD	80092AC8 CBB5	WRITE	0x80092AC8
Mountain Mage Codes	0 Losses	Police NYPD	801D0782 0000	WRITE	0x801D0782
Mountain Mage Codes	Max Wins	Police NYPD	801D0780 270F	WRITE	0x801D0780
Nitemare Codes	0 Losses	Police NYPD	801D07B6 0000	WRITE	0x801D07B6
Nitemare Codes	Max Wins	Police NYPD	801D07B4 270F	WRITE	0x801D07B4
Ocean Mage Codes	0 Losses	Police NYPD	801D0772 0000	WRITE	0x801D0772
Ocean Mage Codes	Max Wins	Police NYPD	801D0770 270F	WRITE	0x801D0770
Password Codes	Can Use Passwords Infinitely	M1CR0H4CK3R	50005B01 0000	DIRECTIVE	
Password Codes	Can Use Passwords Infinitely	M1CR0H4CK3R	801D0698 0000	WRITE	0x801D0698
Pegasus Codes	0 Losses	Police NYPD	801D075A 0000	WRITE	0x801D075A
Pegasus Codes	Max Wins	Police NYPD	801D0758 270F	WRITE	0x801D0758
Rex Raptor Codes	0 Losses	Police NYPD	801D0742 0000	WRITE	0x801D0742
Rex Raptor Codes	Max Wins	Police NYPD	801D0740 270F	WRITE	0x801D0740
Seto 2nd Codes	0 Losses	Police NYPD	801D079E 0000	WRITE	0x801D079E
Seto 2nd Codes	Max Wins	Police NYPD	801D079C 270F	WRITE	0x801D079C
Seto 3rd Codes	0 Losses	Police NYPD	801D07AE 0000	WRITE	0x801D07AE
Seto 3rd Codes	Max Wins	Police NYPD	801D07AC 270F	WRITE	0x801D07AC
Seto Codes	0 Losses	Police NYPD	801D073A 0000	WRITE	0x801D073A
Seto Codes	Max Wins	Police NYPD	801D0738 270F	WRITE	0x801D0738
Shadi Codes	0 Losses	Police NYPD	801D0752 0000	WRITE	0x801D0752
Shadi Codes	Max Wins	Police NYPD	801D0750 270F	WRITE	0x801D0750
Simon Muran Codes	0 Losses	Police NYPD	801D0724 0000	WRITE	0x801D0724
Simon Muran Codes	Max Wins	Police NYPD	801D0720 270F	WRITE	0x801D0720
Teana 2nd Codes	0 Losses	Police NYPD	801D076E 0000	WRITE	0x801D076E
Teana 2nd Codes	Max Wins	Police NYPD	801D076C 270F	WRITE	0x801D076C
Teana Codes	0 Losses	Police NYPD	801D0728 0000	WRITE	0x801D0728
Teana Codes	Max Wins	Police NYPD	801D0726 270F	WRITE	0x801D0726
Viewing Monster Cards In 3D Codes	Screen Doesn't Rotate	Police NYPD	800F284A 4468	WRITE	0x800F284A
Villager 1 Codes	0 Losses	Police NYPD	801D0730 0000	WRITE	0x801D0730
Villager 1 Codes	Max Wins	Police NYPD	801D072E 270F	WRITE	0x801D072E
Villager 2 Codes	0 Losses	Police NYPD	801D0734 0000	WRITE	0x801D0734
Villager 2 Codes	Max Wins	Police NYPD	801D0732 270F	WRITE	0x801D0732
Villager 3 Codes	0 Losses	Police NYPD	801D0736 0000	WRITE	0x801D0736
Villager 3 Codes	Max Wins	Police NYPD	801D0734 270F	WRITE	0x801D0734
Weevil Underwood Codes	0 Losses	Police NYPD	801D0746 0000	WRITE	0x801D0746
Weevil Underwood Codes	Max Wins	Police NYPD	801D0744 270F	WRITE	0x801D0744
Yami Bakura Codes	0 Losses	Police NYPD	801D0756 0000	WRITE	0x801D0756
Yami Bakura Codes	Max Wins	Police NYPD	801D0754 270F	WRITE	0x801D0754
You Codes	All Monsters On Player Field Have Max ATK	roughnight	C0008482 801E	DIRECTIVE	
You Codes	All Monsters On Player Field Have Max ATK	roughnight	5000051C 0000	DIRECTIVE	
You Codes	All Monsters On Player Field Have Max ATK	roughnight	801A7B72 270F	WRITE	0x801A7B72
You Codes	All Monsters On Player Field Have Max DEF	roughnight	C0008482 801E	DIRECTIVE	
You Codes	All Monsters On Player Field Have Max DEF	roughnight	5000051C 0000	DIRECTIVE	
You Codes	All Monsters On Player Field Have Max DEF	roughnight	801A7B74 270F	WRITE	0x801A7B74
Yu-Gi-Oh Codes	Max Star Chips	Police NYPD	801D07E0 423F	WRITE	0x801D07E0
Yu-Gi-Oh Codes	Max Star Chips	Police NYPD	801D07E2 000F	WRITE	0x801D07E2
Master Codes	Enable Code (Must Be On - Version 1)	StalkerX, 00Kevin	D0168188 023A	UNCHECKABLE	0x80168188
Master Codes	Enable Code (Must Be On - Version 1)	StalkerX, 00Kevin	8016818A 1000	WRITE	0x8016818A
Master Codes	Enable Code (Must Be On - Version 2)	StalkerX, 00Kevin	D0168100 000A	UNCHECKABLE	0x80168100
Master Codes	Enable Code (Must Be On - Version 2)	StalkerX, 00Kevin	80168102 1000	WRITE	0x80168102
Master Codes	All cards in library	hugopocked	D002C322 1040	VERIFIED	0x8002C322
Master Codes	All cards in library	hugopocked	8002C322 2400	WRITE	0x8002C322
Master Codes	All free duel opponents unlocked	hugopocked	D01683D4 0002	UNCHECKABLE	0x801683D4
Master Codes	All free duel opponents unlocked	hugopocked	801683D4 A0F8	WRITE	0x801683D4
Master Codes	All free duel opponents unlocked	hugopocked	D01683D6 1440	UNCHECKABLE	0x801683D6
Master Codes	All free duel opponents unlocked	hugopocked	801683D6 0805	WRITE	0x801683D6
Master Codes	Debug Menu	Mantidactyle	80184594 000B	WRITE	0x80184594
Master Codes	Do not subtract stars when buying cards (password)	hugopocked	D016A87C 1823	UNCHECKABLE	0x8016A87C
Master Codes	Do not subtract stars when buying cards (password)	hugopocked	8016A87E 2400	WRITE	0x8016A87E
Master Codes	Get cards fast when buying them (password)	hugopocked	D016A882 1480	UNCHECKABLE	0x8016A882
Master Codes	Get cards fast when buying them (password)	hugopocked	8016A882 2400	WRITE	0x8016A882
Master Codes	No limit to buy cards already obtained (password)	hugopocked	D016A6E0 0005	UNCHECKABLE	0x8016A6E0
Master Codes	No limit to buy cards already obtained (password)	hugopocked	8016A6E0 A9BE	WRITE	0x8016A6E0
Master Codes	No limit to buy cards already obtained (password)	hugopocked	D016A6E2 1040	UNCHECKABLE	0x8016A6E2
Master Codes	No limit to buy cards already obtained (password)	hugopocked	8016A6E2 0805	WRITE	0x8016A6E2
Master Codes	You don't need stars to buy cards (password)	hugopocked	D0038C60 3021	VERIFIED	0x80038C60
Master Codes	You don't need stars to buy cards (password)	hugopocked	80038C60 000F	WRITE	0x80038C60
Master Codes	You don't need stars to buy cards (password)	hugopocked	D0038C62 0080	VERIFIED	0x80038C62
Master Codes	You don't need stars to buy cards (password)	hugopocked	80038C62 3406	WRITE	0x80038C62
Max Card Codes	Max Card 1	Police NYPD	301D0250 0063	WRITE	0x801D0250
Max Card Codes	Max Card 2	Police NYPD	301D0251 0063	WRITE	0x801D0251
Max Card Codes	Max Card 3	Police NYPD	301D0252 0063	WRITE	0x801D0252
Max Card Codes	Max Card 4	Police NYPD	301D0253 0063	WRITE	0x801D0253
Max Card Codes	Max Card 5	Police NYPD	301D0254 0063	WRITE	0x801D0254
Max Card Codes	Max Card 6	Police NYPD	301D0255 0063	WRITE	0x801D0255
Max Card Codes	Max Card 7	Police NYPD	301D0256 0063	WRITE	0x801D0256
Max Card Codes	Max Card 8	Police NYPD	301D0257 0063	WRITE	0x801D0257
Max Card Codes	Max Card 9	Police NYPD	301D0258 0063	WRITE	0x801D0258
Max Card Codes	Max Card 10	Police NYPD	301D0259 0063	WRITE	0x801D0259
Max Card Codes	Max Card 11	Police NYPD	301D025A 0063	WRITE	0x801D025A
Max Card Codes	Max Card 12	Police NYPD	301D025B 0063	WRITE	0x801D025B
Max Card Codes	Max Card 13	Police NYPD	301D025C 0063	WRITE	0x801D025C
Max Card Codes	Max Card 14	Police NYPD	301D025D 0063	WRITE	0x801D025D
Max Card Codes	Max Card 15	Police NYPD	301D025E 0063	WRITE	0x801D025E
