# Derived from 16-byte .text padding after the last function of each
# original translation unit. 233 boundaries => 234 source files.
# vram_of_next_file    last_function_of_previous_file    pad_words
0x8008AD50  func_8008AA30  3
0x8008B340  func_8008B330  1
0x8008B350  func_8008B340  1
0x8008B360  func_8008B350  1
0x8008B370  func_8008B360  1
0x8008B380  func_8008B370  1
0x8008B390  func_8008B380  1
0x8008B3A0  func_8008B390  1
0x8008B3E0  func_8008B3A0  3
0x8008B4F0  func_8008B4E0  1
0x8008B500  func_8008B4F0  1
0x8008B510  func_8008B500  1
0x8008B5EC  func_8008B5C4  1
0x8008B730  func_8008B6F0  3
0x8008B7B0  func_8008B730  4
0x8008D1E0  func_8008D1C8  2
0x8008E320  func_8008DC60  3
0x8008E360  func_8008E320  3
0x8008E3D0  func_8008E390  3
0x8008E590  func_8008E550  1
0x8008E5D0  func_8008E5C0  1
0x8008E680  func_8008E5D0  3
0x8008E6F0  func_8008E680  3
0x8008E740  func_8008E6F0  3
0x8008E780  func_8008E740  3
0x8008E8B0  func_8008E870  1
0x8008EF50  func_8008E8B0  3
0x8008FAF0  func_8008FA80  1
0x8008FB50  func_8008FAF0  3
0x8008FBD0  func_8008FB8C  2
0x8008FBE0  func_8008FBD0  1
0x80090270  func_800901EC  2
0x800905F0  func_800902A0  1
0x800906E0  func_800905F0  3
